,name,sector,industry,country,mktCap,fullTimeEmployees
CNR.TO,CANADIAN NATIONAL RAILWAY CO.,Industrials,Railroads,Canada,104415166464,24381
CNT.TO,CENTURY GLOBAL COMMODITIES CORP,Consumer Defensive,Food Distribution,Hong Kong,21178490,24
CNU.TO,CNOOC LIMITED,Energy,Oil & Gas E&P,Hong Kong,60841398272,18151
COG.TO,CONDOR GOLD PLC,Basic Materials,Gold,United Kingdom,107454600,51
COMM.TO,error,,,,,
CORP.TO,error,,,,,
COW.TO,error,,,,,
CP.TO,CANADIAN PACIFIC RAILWAY LIMITE,Industrials,Railroads,Canada,60000161792,11890
CPD.TO,error,,,,,
CPG.TO,CRESCENT POINT ENERGY CORP.,Energy,Oil & Gas E&P,Canada,2777388544,735
CPH.TO,CIPHER PHARMACEUTICALS INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,31828138,5
CPI.TO,CONDOR PETROLEUM INC,Energy,Oil & Gas E&P,Canada,21640900,46
CPLS.TO,error,,,,,
CPX.TO,CAPITAL POWER CORPORATION,Utilities,Utilities—Independent Power Producers,Canada,3958996480,793
CPX.PR.A.TO,error,,,,,
CPX.PR.C.TO,error,,,,,
CPX.PR.E.TO,error,,,,,
CPX.PR.G.TO,error,,,,,
CPX.PR.I.TO,error,,,,,
CPX.PR.K.TO,error,,,,,
CR.TO,CREW ENERGY INC,Energy,Oil & Gas E&P,Canada,172347472,
CRDL.TO,CARDIOL THERAPEUTICS INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,151920496,
CRDL.WT.TO,delisted,,,,,
CRED.TO,error,,,,,
CRED.U.TO,delisted,,,,,
CRH.TO,CRH MEDICAL CORPORATION,Healthcare,Medical Instruments & Supplies,Canada,355237184,133
CRON.TO,CRONOS GROUP INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,4200620032,
CRP.TO,CERES GLOBAL AG CORP.,Industrials,Specialty Business Services,United States,140016240,192
CRR.UN.TO,delisted,,,,,
CRRX.TO,CARERX CORPORATION,Healthcare,Medical Care Facilities,Canada,166907280,778
CRT.UN.TO,delisted,,,,,
CRWN.TO,CROWN CAPITAL PARTNERS INC,Financial Services,Credit Services,Canada,47546468,9
CRWN.DB.TO,error,,,,,
CS.TO,CAPSTONE MINING CORP.,Basic Materials,Copper,Canada,1578292224,
CSAV.TO,error,,,,,
CSD.TO,error,,,,,
CSE.PR.A.TO,error,,,,,
CSH.UN.TO,delisted,,,,,
CSM.TO,CLEARSTREAM ENERGY SERVICES INC,Energy,Oil & Gas Equipment & Services,Canada,9899370,
CSU.TO,CONSTELLATION SOFTWARE INC.,Technology,Software—Application,Canada,36462731264,
CSU.DB.TO,error,,,,,
CSW.A.TO,delisted,,,,,
CSW.B.TO,delisted,,,,,
CSY.TO,error,,,,,
CTC.TO,"CANADIAN TIRE CORPORATION, LIMI",Consumer Cyclical,Specialty Retail,Canada,10923464704,13399
CTC.A.TO,delisted,,,,,
CTF.UN.TO,delisted,,,,,
CTX.TO,CRESCITA THERAPEUTICS INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,15486300,
CU.TO,"CANADIAN UTILITIES LTD., CL.A, ",Utilities,Utilities—Diversified,Canada,9281983488,4473
CU.PR.C.TO,error,,,,,
CU.PR.D.TO,error,,,,,
CU.PR.E.TO,error,,,,,
CU.PR.F.TO,error,,,,,
CU.PR.G.TO,error,,,,,
CU.PR.H.TO,error,,,,,
CU.PR.I.TO,error,,,,,
CU.X.TO,error,,,,,
CUD.TO,error,,,,,
CUF.UN.TO,delisted,,,,,
CUP.RT.U.TO,error,,,,,
CUP.U.TO,delisted,,,,,
CVD.TO,error,,,,,
CVE.TO,CENOVUS ENERGY INC.,Energy,Oil & Gas Integrated,Canada,19810867200,2413
CVG.TO,CLAIRVEST GROUP,Financial Services,Asset Management,Canada,953196736,35
CWB.TO,CDN WESTERN BANK,Financial Services,Banks—Regional,Canada,2836866560,2498
CWB.PR.B.TO,error,,,,,
CWB.PR.C.TO,error,,,,,
CWB.PR.D.TO,error,,,,,
CWEB.TO,CHARLOTTES WEB HOLDINGS INC,Healthcare,Drug Manufacturers—Specialty & Generic,United States,826277056,
CWEB.WR.TO,delisted,,,,,
CWEB.WS.TO,error,,,,,
CWEB.WT.TO,error,,,,,
CWL.TO,CALDWELL PARTNERS INTERNATIONAL,Industrials,Staffing & Employment Services,Canada,44634976,
CWW.TO,error,,,,,
CWX.TO,CANWEL BUILDING MATERIALS GROUP,Basic Materials,Building Materials,Canada,710550848,
CWX.NT.A.TO,error,,,,,
CXB.TO,CALIBRE MINING CORP,Basic Materials,Other Industrial Metals & Mining,Canada,510746112,
CXF.TO,error,,,,,
CXI.TO,CURRENCY EXCHANGE INTERNATIONAL,Financial Services,Capital Markets,United States,74786952,194
CYB.TO,CYMBRIA CORPORATION CL A,Financial Services,Asset Management,Canada,1319297024,
CYBR.TO,error,,,,,
CYBR.B.TO,delisted,,,,,
