,name,sector,industry,country,mktCap,fullTimeEmployees
CARS.TO,EVOLVE AUTOMOBILE INNOVATION ID,,,,,
CARS.B.TO,error,,,,,
CARS.U.TO,error,,,,,
CAS.TO,CASCADES INC,Basic Materials,Paper & Paper Products,Canada,1474892032,11714
CBH.TO,ISHARES 1-10 YR LADDERED CORP B,,,,,
CBO.TO,ISHARES 1-5YR LADDERED CORP BON,,,,,
CCA.TO,COGECO COMMUNICATIONS INC,Communication Services,Telecom Services,Canada,5541422080,3740
CCL.A.TO,error,,,,,
CCL.B.TO,error,,,,,
CCM.TO,error,,,,,
CCNS.TO,CIBC CONSERVATIVE FIXED INCOME ,,,,,
CCO.TO,CAMECO CORP,Energy,Uranium,Canada,8206152192,
CCOR.TO,CI DOUBLELINE COR PLUS FXD INC ,,,,,
CCRE.TO,CIBC CORE FIXED INCOME POOL ETF,,,,,
CCS.PR.C.TO,error,,,,,
CDAY.TO,CERIDIAN HCM HOLDINGS INC,Technology,Software—Application,United States,17298010112,5974
CDD.UN.TO,error,,,,,
CDLB.TO,CI DOUBLELINE TOTAL RETURN BND ,,,,,
CDLB.B.TO,error,,,,,
CDLB.U.TO,error,,,,,
CDV.TO,error,,,,,
CDZ.TO,ISHARES SP TSX CDN DIVIDEND IDX,,,,,
CEE.TO,CENTAMIN PLC,Basic Materials,Gold,Jersey,2127888640,3128
CEF.TO,SPROTT PHYSICAL GOLD SILVER TRU,,,,4350620672,
CEF.U.TO,error,,,,,
CERV.TO,CERVUS EQUIPMENT CORPORATION,Industrials,Farm & Heavy Construction Machinery,Canada,255656944,1548
CET.TO,CATHEDRAL ENERGY SERVICES LTD.,Energy,Oil & Gas Drilling,Canada,15185431,118
CEU.TO,CES ENERGY SOLUTIONS CORP,Energy,Oil & Gas Equipment & Services,Canada,410028480,1609
CEW.TO,ISHARES EQUAL WEIGHT BANC LIFEC,,,,,
CF.TO,CANACCORD GENUITY GROUP INC,Financial Services,Capital Markets,Canada,1142131456,2296
CF.DB.A.TO,error,,,,,
CF.PR.A.TO,error,,,,,
CF.PR.C.TO,error,,,,,
CFF.TO,CONIFEX TIMBER INC,Basic Materials,Lumber & Wood Production,Canada,124494040,270
CFLX.TO,CIBC FLEXIBLE YIELD ETF HEDGED,,,,,
CFP.TO,CANFOR CORP,Basic Materials,Lumber & Wood Production,Canada,3844223488,7111
CFW.TO,CALFRAC WELL SERVICES LTD.,Energy,Oil & Gas Equipment & Services,Canada,127937072,
CFX.TO,CANFOR PULP PRODUCTS INC.,Basic Materials,Paper & Paper Products,Canada,587102400,1278
CG.TO,CENTERRA GOLD INC.,Basic Materials,Gold,Canada,3355018240,
CGAA.TO,CI GLOBAL ASSET ALLOC PRIVATE P,,,,,
CGG.TO,CHINA GOLD INT RESOURCES CORP.,Basic Materials,Other Precious Metals & Mining,Canada,1494480896,2082
CGI.TO,error,,,,,
CGI.PR.D.TO,error,,,,,
CGL.TO,ISHARES GOLD BULLION ETF HDG,,,,,
CGL.C.TO,error,,,,,
CGLO.TO,CIBC GLOBAL GROWTH ETF,,,,,
CGO.TO,"COGECO INC., SV",Communication Services,Telecom Services,Canada,1545463552,3740
CGR.TO,ISHARES GLOBAL REAL ESTATE IDX ,,,,,
CGRA.TO,CI GLOBAL REAL ASSET PRIVATE PO,,,,,
CGRE.TO,CI GLOBAL REIT PRIVATE POOL ETF,,,,,
CGX.TO,CINEPLEX INC.,Communication Services,Entertainment,Canada,804331648,10000
CGX.DB.B.TO,error,,,,,
CGXF.TO,CI GLD  GIANTS CVR CALL ETF,,,,,
CGY.TO,CALIAN GROUP LTD,Industrials,Specialty Business Services,Canada,646023680,4400
CHB.TO,ISHARES US HY FIXED INCOME INDE,,,,,
CHE.DB.B.TO,error,,,,,
CHE.DB.C.TO,error,,,,,
CHE.DB.D.TO,error,,,,,
CHE.DB.E.TO,error,,,,,
CHE.DB.F.TO,error,,,,,
CHE.UN.TO,error,,,,,
CHNA.B.TO,error,,,,,
CHP.UN.TO,error,,,,,
CHR.TO,CHORUS AVIATION INC,Industrials,Airlines,Canada,702502848,2875
CHR.DB.A.TO,error,,,,,
CHW.TO,CHESSWOOD GROUP LIMITED,Financial Services,Credit Services,Canada,203188752,144
CIA.TO,CHAMPION IRON LIMITED,Basic Materials,Other Industrial Metals & Mining,Australia,3190453504,
CIC.TO,CI CANBANC INCOME CLASS ETF,,,,,
CIF.TO,ISHARES GLOBAL INFRASTRUCTURE I,,,,,
CIGI.TO,COLLIERS INTERNATIONAL GROUP IN,Real Estate,Real Estate Services,Canada,5826406912,15370
CINC.TO,CI DOUBLELINE INCOME US HDG ETF,,,,,
CINC.B.TO,error,,,,,
CINC.U.TO,error,,,,,
CINF.TO,CI GLOBAL INFRASTRUCTURE PVT PO,,,,,
CINT.TO,CIBC INTERNATIONAL EQUITY ETF,,,,,
CIQ.UN.TO,error,,,,,
CIU.PR.A.TO,error,,,,,
CIU.PR.C.TO,error,,,,,
