,name,sector,industry,country,mktCap,fullTimeEmployees
DISH,DISH Network Corporation,Communication Services,Entertainment,United States,19006091264,13500
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,United States,48589733888,158000
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,United States,26701027328,60217
D,"Dominion Energy, Inc.",Utilities,Utilities—Regulated Electric,United States,61078908928,17300
DPZ,Domino's Pizza Inc,Consumer Cyclical,Restaurants,United States,14427540480,6900
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,United States,20125591552,23000
DOW,Dow Inc.,Basic Materials,Chemicals,United States,47686950912,35700
DTE,DTE Energy Company,Utilities,Utilities—Regulated Electric,United States,25818447872,10600
DUK,Duke Energy Corporation (Holdin,Utilities,Utilities—Regulated Electric,United States,73714065408,27535
DRE,Duke Realty Corporation,Real Estate,REIT—Industrial,United States,16012136448,350
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,United States,41944178688,34000
DXC,DXC Technology Company,Technology,Information Technology Services,United States,7227923456,138000
ETFC,,,,,,
EMN,Eastman Chemical Company,Basic Materials,Chemicals,United States,15382623232,14500
ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery,Ireland,55248965632,91987
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,United States,41391534080,12700
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,United States,61029023744,44000
EIX,Edison International,Utilities,Utilities—Regulated Electric,United States,23017865216,13351
EW,Edwards Lifesciences Corporatio,Healthcare,Medical Devices,United States,51193561088,14900
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,United States,38211112960,9800
EMR,Emerson Electric Company,Industrials,Specialty Industrial Machinery,United States,54944747520,83500
ETR,Entergy Corporation,Utilities,Utilities—Regulated Electric,United States,19735250944,13400
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,United States,43703484416,2900
EFX,"Equifax, Inc.",Industrials,Consulting Services,United States,22226309120,11400
EQIX,"Equinix, Inc.",Real Estate,REIT—Specialty,United States,61039890432,10013
EQR,Equity Residential,Real Estate,REIT—Residential,United States,27085148160,2600
ESS,"Essex Property Trust, Inc.",Real Estate,REIT—Residential,United States,18479886336,1763
EL,"Estee Lauder Companies, Inc. (T",Consumer Defensive,Household & Personal Products,United States,106038083584,48000
EVRG,"Evergy, Inc.",Utilities,Utilities—Regulated Electric,United States,13424365568,5133
ES,Eversource Energy (D/B/A),Utilities,Utilities—Regulated Electric,United States,29426229248,9299
RE,"Everest Re Group, Ltd.",Financial Services,Insurance—Reinsurance,Bermuda,10003923968,1746
EXC,Exelon Corporation,Utilities,Utilities—Diversified,United States,42518360064,32340
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,United States,25384976384,19100
EXPD,Expeditors International of Was,Industrials,Integrated Freight & Logistics,United States,18185213952,17480
EXR,Extra Space Storage Inc,Real Estate,REIT—Industrial,United States,17718398976,4013
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,United States,244316438528,72000
FFIV,"F5 Networks, Inc.",Technology,Software—Infrastructure,United States,12973794304,5901
FB,"Facebook, Inc.",Communication Services,Internet Content & Information,United States,805947506688,58604
FAST,Fastenal Company,Industrials,Industrial Distribution,United States,29038682112,17836
FRT,Federal Realty Investment Trust,Real Estate,REIT—Retail,United States,8107119104,307
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,United States,74651320320,324000
FIS,Fidelity National Information S,Technology,Information Technology Services,United States,90945708032,62000
FITB,Fifth Third Bancorp,Financial Services,Banks—Regional,United States,27332491264,19872
FE,FirstEnergy Corp.,Utilities,Utilities—Regulated Electric,United States,18615977984,12153
FRC,FIRST REPUBLIC BANK,Financial Services,Banks—Regional,United States,29635121152,5483
FISV,"Fiserv, Inc.",Technology,Information Technology Services,United States,82751946752,44000
FLT,"FleetCor Technologies, Inc.",Technology,Information Technology Services,United States,23228102656,8400
FLIR,"FLIR Systems, Inc.",Technology,Scientific & Technical Instruments,United States,7300770304,4179
FLS,Flowserve Corporation,Industrials,Specialty Industrial Machinery,United States,5139388416,16000
FMC,FMC Corporation,Basic Materials,Agricultural Inputs,United States,14734238720,6400
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,United States,48937889792,186000
FTNT,"Fortinet, Inc.",Technology,Software—Infrastructure,United States,29826420736,8238
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,United States,24091082752,17000
FBHS,"Fortune Brands Home & Security,",Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States,13010847744,27505
FOXA,Fox Corporation,Communication Services,Broadcasting,United States,21870776320,9000
FOX,Fox Corporation,Communication Services,Broadcasting,United States,21951717376,9000
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,United States,14858876928,11400
FCX,"Freeport-McMoRan, Inc.",Basic Materials,Copper,United States,48121597952,24500
GPS,"Gap, Inc. (The)",Consumer Cyclical,Apparel Retail,United States,11061882880,117000
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,Switzerland,24591970304,16000
IT,"Gartner, Inc.",Technology,Information Technology Services,United States,16488003584,15600
GD,,,,,,
GE,General Electric Company,Industrials,Specialty Industrial Machinery,United States,114112602112,174000
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,United States,37189935104,35000
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,United States,81440227328,155000
GPC,Genuine Parts Company,Consumer Cyclical,Specialty Retail,United States,17119212544,50000
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers—General,United States,81979924480,13600
GL,Globe Life Inc.,Financial Services,Insurance—Life,United States,11415747584,3261
GPN,Global Payments Inc.,Industrials,Specialty Business Services,United States,61723971584,24000
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Capital Markets,United States,111383322624,40500
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,United States,20903424000,21800
HRB,"H&R Block, Inc.",Consumer Cyclical,Personal Services,United States,3786465280,3500
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,United States,19363313664,40000
HBI,Hanesbrands Inc.,Consumer Cyclical,Apparel Manufacturing,United States,7172134400,56000
HIG,Hartford Financial Services Gro,Financial Services,Insurance—Diversified,United States,24203696128,18500
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,United States,13529171968,6822
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,United States,64378552320,195000
PEAK,"Healthpeak Properties, Inc.",Real Estate,REIT—Healthcare Facilities,United States,17276270592,217
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,United States,9684703232,19000
HSY,The Hershey Company,Consumer Defensive,Confectioners,United States,32995330048,15200
HES,Hess Corporation,Energy,Oil & Gas E&P,United States,22201300992,1621
HPE,Hewlett Packard Enterprise Comp,Technology,Communication Equipment,United States,20831410176,59400
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,United States,33623881728,141000
HFC,HollyFrontier Corporation,Energy,Oil & Gas Refining & Marketing,United States,5997986304,3891
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,United States,18917543936,5814
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Home Improvement Retail,United States,327224623104,504800
HON,Honeywell International Inc.,Industrials,Specialty Industrial Machinery,United States,151987830784,103000
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,United States,25878489088,20100
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT—Hotel & Motel,United States,12125224960,163
HWM,Howmet Aerospace Inc.,Industrials,Specialty Industrial Machinery,United States,13871343616,19700
HPQ,HP Inc.,Technology,Computer Hardware,United States,39467352064,53000
HUM,Humana Inc.,Healthcare,Healthcare Plans,United States,54649061376,48700
HBAN,Huntington Bancshares Incorpora,Financial Services,Banks—Regional,United States,16440031232,15578
HII,"Huntington Ingalls Industries, ",Industrials,Aerospace & Defense,United States,8187347968,42000
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,United States,15681317888,7075
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,United States,41023320064,9300
INFO,IHS Markit Ltd.,Industrials,Consulting Services,United Kingdom,39282610176,16000
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,United States,72075444224,43000
ILMN,"Illumina, Inc.",Healthcare,Diagnostics & Research,United States,58573012992,7800
INCY,Incyte Corporation,Healthcare,Biotechnology,United States,17972246528,1773
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,United States,20816807936,15900
INTC,Intel Corporation,Technology,Semiconductors,United States,263566819328,110600
ICE,Intercontinental Exchange Inc.,Financial Services,Financial Data & Stock Exchanges,United States,63832383488,8890
IBM,International Business Machines,Technology,Information Technology Services,United States,121868353536,345900
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,United States,21664677888,49300
IPG,"Interpublic Group of Companies,",Communication Services,Advertising Agencies,United States,11110883328,50200
IFF,Internationa Flavors & Fragranc,Basic Materials,Specialty Chemicals,United States,34967982080,13700
INTU,Intuit Inc.,Technology,Software—Application,United States,103122665472,10600
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,United States,86504726528,8081
IVZ,Invesco Ltd,Financial Services,Asset Management,United States,11366623232,8512
IPGP,IPG Photonics Corporation,Technology,Semiconductor Equipment & Materials,United States,11074495488,6060
IQV,"IQVIA Holdings, Inc.",Healthcare,Diagnostics & Research,United States,36984184832,70000
IRM,Iron Mountain Incorporated (Del,Real Estate,REIT—Specialty,United States,10752333824,24000
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,United States,11806435328,6717
J,Jacobs Engineering Group Inc.,Industrials,Engineering & Construction,United States,16731660288,55000
JBHT,"J.B. Hunt Transport Services, I",Industrials,Integrated Freight & Logistics,United States,17642164224,30309
SJM,J.M. Smucker Company (The) New,Consumer Defensive,Packaged Foods,United States,13917835264,7300
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers—General,United States,434212831232,134500
JCI,Johnson Controls International ,Industrials,Engineering & Construction,Ireland,43095076864,97000
JPM,JP Morgan Chase & Co.,Financial Services,Banks—Diversified,United States,473258688512,255351
JNPR,"Juniper Networks, Inc.",Technology,Communication Equipment,United States,8479964672,9950
KSU,Kansas City Southern,Industrials,Railroads,United States,23063341056,6522
K,Kellogg Company,Consumer Defensive,Packaged Foods,United States,21684017152,31000
KEY,KeyCorp,Financial Services,Banks—Regional,United States,19521622016,17785
KEYS,Keysight Technologies Inc.,Technology,Scientific & Technical Instruments,United States,26446487552,14000
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,United States,46350901248,46000
KIM,Kimco Realty Corporation,Real Estate,REIT—Retail,United States,8326401024,484
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,United States,38042759168,10524
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,United States,49294757888,10600
KSS,Kohl's Corporation,Consumer Cyclical,Department Stores,United States,9294834688,110000
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,United States,48963895296,38000
KR,Kroger Company (The),Consumer Defensive,Grocery Stores,United States,28183109632,500000
LB,"L Brands, Inc.",Consumer Cyclical,Apparel Retail,United States,17174942720,22400
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,United States,40895299584,48000
LH,Laboratory Corporation of Ameri,Healthcare,Diagnostics & Research,United States,24678160384,65160
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,United States,83491135488,12200
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,United States,11802067968,7700
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,United States,46594424832,44500
LEG,"Leggett & Platt, Incorporated",Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States,6183895552,20400
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,United States,13597485056,39000
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,United States,31376451584,9495
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers—General,United States,177710809088,35000
LNC,Lincoln National Corporation,Financial Services,Insurance—Life,United States,11928269824,10966
LIN,Linde plc,Basic Materials,Specialty Chemicals,United Kingdom,147126042624,74207
LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,United States,18324670464,8200
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,United States,12928241664,44000
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,United States,101649047552,114000
L,Loews Corporation,Financial Services,Insurance—Property & Casualty,United States,13894867968,12200
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,United States,137433620480,220000
LYB,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals,United States,35274420224,19200
MTB,M&T Bank Corporation,Financial Services,Banks—Regional,United States,19956279296,16718
MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,United States,8750852096,1672
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,United States,35871334400,57900
MKTX,"MarketAxess Holdings, Inc.",Financial Services,Capital Markets,United States,19674275840,606
MAR,Marriott International,Consumer Cyclical,Lodging,United States,47630467072,121000
MMC,"Marsh & McLennan Companies, Inc",Financial Services,Insurance Brokers,United States,61099327488,76000
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,United States,21254746112,8700
MAS,Masco Corporation,Industrials,Building Products & Equipment,United States,15441377280,18000
MA,Mastercard Incorporated,Financial Services,Credit Services,United States,363709562880,21000
MKC,"McCormick & Company, Incorporat",Consumer Defensive,Packaged Foods,United States,24074883072,13000
MXIM,"Maxim Integrated Products, Inc.",Technology,Semiconductors,United States,24965337088,7115
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,United States,167910260736,200000
MCK,McKesson Corporation,Healthcare,Medical Distribution,United States,30892724224,80000
MDT,Medtronic plc.,Healthcare,Medical Devices,Ireland,159827181568,90000
MRK,"Merck & Company, Inc.",Healthcare,Drug Manufacturers—General,United States,195821453312,73000
MET,,,,,,
MTD,"Mettler-Toledo International, I",Healthcare,Diagnostics & Research,United States,27123955712,14900
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,United States,18646061056,45000
MCHP,Microchip Technology Incorporat,Technology,Semiconductors,United States,41848700928,18000
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,98431770624,40000
MSFT,Microsoft Corporation,Technology,Software—Infrastructure,United States,1783584129024,163000
MAA,Mid-America Apartment Communiti,Real Estate,REIT—Residential,United States,16997060608,2530
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States,13741199360,42000
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages—Brewers,United States,11148111872,17000
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,United States,85173952512,79000
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages—Non-Alcoholic,United States,48403755008,3013
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,United States,56916058112,11490
MS,Morgan Stanley,Financial Services,Capital Markets,United States,150396796928,68000
MOS,Mosaic Company (The),Basic Materials,Agricultural Inputs,United States,11808746496,12617
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,United States,32047710208,18000
MSCI,MSCI Inc,Financial Services,Financial Data & Stock Exchanges,United States,35158630400,3633
