,name,sector,industry,country,mktCap,fullTimeEmployees
AME.AX,ALTOMETALS FPO,Basic Materials,Gold,Australia,32418718,
AMG.AX,AUSMEX FPO,Basic Materials,Other Industrial Metals & Mining,Australia,27925968,
AMH.AX,AMCIL FPO,Financial Services,Asset Management,Australia,316667584,
AMI.AX,AURELIA FPO,Basic Materials,Other Industrial Metals & Mining,Australia,444358816,
AML.AX,AEON METAL FPO,Basic Materials,Other Industrial Metals & Mining,Australia,64369148,
AMN.AX,AGRIMIN FPO,Basic Materials,Other Industrial Metals & Mining,Australia,111877160,
AMO.AX,AMBERTECH FPO,Technology,Electronics & Computer Distribution,Australia,16856774,125
AMP.AX,AMP FPO,Financial Services,Asset Management,Australia,4622226944,5798
AMS.AX,ATOMOS FPO,Technology,Consumer Electronics,Australia,198819536,
AMT.AX,ALLEGRA FPO,Healthcare,Medical Devices,Australia,34471472,
AMX.AX,AEROMETREX FPO,Technology,Software—Application,Australia,92512000,99
ANA.AX,ANSILA FPO,Energy,Oil & Gas E&P,Australia,40694940,
ANG.AX,AUSTIN ENG FPO,Industrials,Farm & Heavy Construction Machinery,Australia,92779832,1248
ANL.AX,AMANI GOLD FPO,Basic Materials,Gold,Australia,10787001,
ANN.AX,ANSELL FPO,Healthcare,Medical Instruments & Supplies,Australia,5070390272,13513
ANO.AX,ADVNANOTEK FPO,Basic Materials,Chemicals,Australia,244751040,
ANP.AX,ANTISENSE FPO,Healthcare,Drug Manufacturers—Specialty & Generic,Australia,111940912,
ANR.AX,ANATARA LS FPO,Healthcare,Biotechnology,Australia,11976484,
ANS.AX,,Basic Materials,Gold,Australia,86269056,
ANW.AX,AUS TIN FPO,Basic Materials,Other Industrial Metals & Mining,Australia,10173401,
ANZ.AX,ANZ BANK FPO,Financial Services,Banks—Diversified,Australia,80158867456,37506
AO1.AX,ASSETOWL FPO,Technology,Software—Application,Australia,3461535,
AOA.AX,AUSMON FPO,Basic Materials,Other Industrial Metals & Mining,Australia,7531589,
AOF.AX,AU OFFICE FPO,Real Estate,REIT—Office,Australia,369861760,
AON.AX,APOLLO MIN FPO,Basic Materials,Other Industrial Metals & Mining,Australia,26229216,
AOP.AX,APOLLOCONS FPO,Basic Materials,Gold,Australia,101017344,
AOU.AX,AUROCH MIN FPO,Basic Materials,Gold,Australia,71591776,
AOW.AX,delisted,,,,,
APA.AX,APA GROUP STAPLED,Utilities,Utilities—Regulated Gas,Australia,35963146240,1900
APC.AX,AUSPOTASH FPO,Basic Materials,Other Industrial Metals & Mining,Australia,91300616,
APD.AX,APN PROP STAPLED,Financial Services,Asset Management,Australia,176308192,
APE.AX,EAGERS FPO,Consumer Cyclical,Auto & Truck Dealerships,Australia,3905381376,8537
APG.AX,AUSTPAC R FPO,Basic Materials,Other Industrial Metals & Mining,Australia,9496980,
APH.AX,APHEMP FPO,Healthcare,Drug Manufacturers—Specialty & Generic,Australia,41110196,
API.AX,AUST PHARM FPO,Healthcare,Medical Distribution,Australia,660159040,
APL.AX,ANTIPODES FPO,Financial Services,Asset Management,Australia,504579904,
APT.AX,AFTERPAY FPO,Technology,Software—Infrastructure,Australia,30384605184,930
APV.AX,APPSVILL FPO,Technology,Software—Application,Australia,10323031,
APW.AX,AIMSPROSEC UNIT,Real Estate,REIT—Diversified,Australia,50706488,
APX.AX,APPEN FPO,Technology,Information Technology Services,Australia,2153975296,1078
APZ.AX,ASPEN STAPLED,Real Estate,Real Estate—Diversified,Australia,140805280,
AQC.AX,AUSPACCOAL FPO,Energy,Thermal Coal,Australia,8077568,
AQD.AX,AUSQUEST FPO,Basic Materials,Other Industrial Metals & Mining,Australia,15784739,
AQG.AX,delisted,,,,,
AQI.AX,ALICANTO FPO,Basic Materials,Gold,Australia,45768380,
AQR.AX,APNCONREIT STAPLED,Real Estate,REIT—Retail,Australia,423364896,
AQS.AX,AQUIS FPO,Consumer Cyclical,Resorts & Casinos,Australia,50913772,206
AQX.AX,ALICEQUEEN FPO,Basic Materials,Other Industrial Metals & Mining,Australia,27414000,
AQZ.AX,AAVIATION FPO,Industrials,Airlines,Australia,633884096,552
AR9.AX,ARCHTIS FPO,Technology,Software—Application,Australia,62055000,
ARA.AX,ARIADNE FPO,Industrials,Infrastructure Operations,Australia,102045840,10
ARB.AX,ARB CORP FPO,Consumer Cyclical,Auto Parts,Australia,2860611328,1600
ARC.AX,AUST RURAL FPO,Financial Services,Asset Management,Australia,3945372,
ARD.AX,ARGENT MIN FPO,Basic Materials,Other Industrial Metals & Mining,Australia,47315992,3
ARE.AX,ARGONAUT FPO,Basic Materials,Other Industrial Metals & Mining,Australia,37867308,
ARF.AX,ARENA REIT STAPLED,Real Estate,REIT—Specialty,Australia,1076649472,
ARG.AX,ARGO FPO,Financial Services,Asset Management,Australia,6256396288,
ARL.AX,ARDEARES FPO,Basic Materials,Other Industrial Metals & Mining,Australia,67665624,
ARM.AX,delisted,,,,,
ARN.AX,ALDORO FPO,Basic Materials,Other Industrial Metals & Mining,Australia,14977776,
ARO.AX,ASTRO RES FPO,Basic Materials,Other Industrial Metals & Mining,Australia,13978480,
ARQ.AX,delisted,,,,,
ARS.AX,delisted,,,,,
ARU.AX,ARAFURA FPO,Basic Materials,Other Industrial Metals & Mining,Australia,216594304,
ARV.AX,ARTEMIS FPO,Basic Materials,Other Industrial Metals & Mining,Australia,85257008,
AS1.AX,ANGEL FPO,Consumer Defensive,Farm Products,Australia,25852000,
ASB.AX,AUSTAL LTD FPO,Industrials,Aerospace & Defense,Australia,834174592,5800
ASG.AX,AUTOSPORTS FPO,Consumer Cyclical,Auto & Truck Dealerships,Australia,402000000,
ASH.AX,ASHLEYSERV FPO,Industrials,Staffing & Employment Services,Australia,61909680,
ASIA.AX,error,,,,,
ASN.AX,ANSON RES FPO,Basic Materials,Other Industrial Metals & Mining,Australia,72402496,
ASP.AX,ASPERMONT FPO,Communication Services,Publishing,Australia,62935084,79
ASQ.AX,AUSSILICAQ FPO,Basic Materials,Aluminum,Australia,21975508,
AST.AX,AUSNET FPO,Utilities,Utilities—Diversified,Australia,6994263552,1700
ASW.AX,ADVANSHARE FPO,Financial Services,Capital Markets,Australia,34383600,20
ASX.AX,ASX FPO,Financial Services,Financial Data & Stock Exchanges,Australia,13826554880,737
AT1.AX,ATOMO DIAG FPO,Healthcare,Medical Devices,Australia,146691472,
ATC.AX,ALTECH CHE FPO,Basic Materials,Chemicals,Australia,74615840,
ATEC.AX,error,,,,,
ATH.AX,ALTERITY FPO,Healthcare,Biotechnology,Australia,68772656,12
ATL.AX,APOLLO T&L FPO,Consumer Cyclical,Recreational Vehicles,Australia,54914544,
ATM.AX,ANEKA TAMB CDI 1:5,Basic Materials,Other Industrial Metals & Mining,Indonesia,4807459840,4128
ATP.AX,ATLASPEARL FPO,Consumer Cyclical,Luxury Goods,Australia,5562336,515
ATR.AX,ASTRON CDI 1:1,Basic Materials,Other Industrial Metals & Mining,Australia,38580256,
ATS.AX,AUSTRALIS FPO,Energy,Oil & Gas E&P,Australia,61371876,
ATU.AX,ATRUM COAL FPO,Basic Materials,Coking Coal,Australia,43040768,
ATX.AX,AMPLIA FPO,Healthcare,Biotechnology,Australia,27533114,
AU1.AX,THE AGENCY FPO,Real Estate,Real Estate Services,Australia,24857464,
AU8.AX,delisted,,,,,
AUB.AX,AUB GROUP FPO,Financial Services,Insurance Brokers,Australia,1412047488,
AUC.AX,AUSGOLD FPO,Basic Materials,Gold,Australia,68918544,
AUDS.AX,error,,,,,
AUH.AX,AUSTCHINA FPO,Energy,Thermal Coal,Australia,17975320,
AUI.AX,A.U.INV. FPO,Financial Services,Asset Management,Australia,1107110144,
AUL.AX,AUSTARGOLD FPO,Basic Materials,Gold,Australia,11696569,
AUMF.AX,error,,,,,
AUP.AX,AURORA PRP UNITS,Financial Services,Asset Management,Australia,6058218,
AUQ.AX,ALARA RES FPO,Basic Materials,Other Industrial Metals & Mining,Australia,12697721,
AUR.AX,AURISMINE FPO,Basic Materials,Other Industrial Metals & Mining,Australia,44326216,
AUST.AX,error,,,,,
AUT.AX,AUTECO FPO,Basic Materials,Other Industrial Metals & Mining,Australia,144180560,
AUZ.AX,AUST MINES FPO,Basic Materials,Other Industrial Metals & Mining,Australia,79229000,
AV1.AX,ADVERITAS FPO,Technology,Software—Infrastructure,Australia,51753836,
AVA.AX,AVA RISK FPO,Industrials,Security & Protection Services,Australia,113565624,
AVC.AX,AUCTUS INV FPO,Financial Services,Asset Management,Australia,59590884,
AVE.AX,AVECHO FPO,Healthcare,Biotechnology,Australia,42064468,
AVG.AX,AUST VINT FPO,Consumer Defensive,Beverages—Wineries & Distilleries,Australia,196495600,
AVH.AX,AVITA MED CDI 5:1,Healthcare,Medical Devices,United States,674277312,98
AVJ.AX,AVJ FPO,Real Estate,Real Estate—Development,Australia,217333600,
AVL.AX,AUSTVANAD FPO,Basic Materials,Other Industrial Metals & Mining,Australia,70323840,
AVN.AX,AVENTUS STAPLED,Real Estate,REIT—Retail,Australia,5083343872,60
AVQ.AX,delisted,,,,,
AVW.AX,AVIRARESOU FPO,Basic Materials,Gold,Australia,11000321,
AVZ.AX,AVZ MINS FPO,Basic Materials,Other Industrial Metals & Mining,Australia,578034048,
AWC.AX,ALUMINA FPO,Basic Materials,Aluminum,Australia,5019906560,
AWN.AX,AWNHOLDLTD FPO,Utilities,Utilities—Renewable,Australia,37224188,
AWV.AX,ANOVAMETAL FPO,Basic Materials,Gold,Australia,35827252,
AWY.AX,delisted,,,,,
AX1.AX,ACCENT GL FPO,Consumer Cyclical,Apparel Retail,Australia,1278806144,
AX8.AX,ACCELERATE FPO,Basic Materials,Other Industrial Metals & Mining,Australia,8469792,
AXE.AX,ARCHER MAT FPO,Basic Materials,Other Industrial Metals & Mining,Australia,212474768,
AXI.AX,AXIOM FPO,Real Estate,Real Estate—Diversified,Australia,31155406,
AXT.AX,ARGO EXPLO FPO,Energy,Oil & Gas E&P,Australia,2561580,
AYF.AX,delisted,,,,,
AYI.AX,A1 INVEST FPO,Financial Services,Asset Management,Australia,16421901,
AYM.AX,AUSTUNITED FPO,Basic Materials,Gold,Australia,16583219,
AYR.AX,delisted,,,,,
AYS.AX,AMAYSIM FPO,Industrials,Conglomerates,Australia,245900016,663
AZI.AX,ALTAZINC FPO,Basic Materials,Other Industrial Metals & Mining,Australia,18053500,
AZJ.AX,AURIZON FPO,Industrials,Railroads,Australia,7141916160,4840
AZS.AX,AZURE MINS FPO,Basic Materials,Other Industrial Metals & Mining,Australia,101668392,
AZT.AX,delisted,,,,,
AZV.AX,delisted,,,,,
AZY.AX,ANTIPA MIN FPO,Basic Materials,Other Precious Metals & Mining,Australia,72530160,
B2Y.AX,delisted,,,,,
BAF.AX,error,,,,,
BAP.AX,BAPCOR LTD FPO,Consumer Cyclical,Specialty Retail,Australia,2610085888,
BAR.AX,BARRA RES FPO,Basic Materials,Other Industrial Metals & Mining,Australia,14229768,6
BAS.AX,BASS OIL FPO,Energy,Oil & Gas E&P,Australia,10026420,
BAT.AX,BATTMIN FPO,Basic Materials,Other Industrial Metals & Mining,Australia,55114292,
BBC.AX,BNKBANKING FPO,Financial Services,Banks—Regional,Australia,66844468,
BBL.AX,BRIS BRONC FPO,Consumer Cyclical,Leisure,Australia,48530096,
