,name,sector,industry,country,mktCap,fullTimeEmployees
PHYW.SI,error,,,,,
PJLW.SI,error,,,,,
PLJW.SI,error,,,,,
PQTW.SI,error,,,,,
PU6D.SI,error,,,,,
PWBW.SI,error,,,,,
Q01.SI,QAF,Consumer Defensive,Packaged Foods,Singapore,569515264,10000
Q0F.SI,IHH,Healthcare,Medical Care Facilities,Malaysia,15470694400,65000
Q0X.SI,$ Ley Choon,Industrials,Engineering & Construction,Singapore,18956960,900
Q31W.SI,error,,,,,
Q5T.SI,Far East HTrust,Real Estate,REIT—Diversified,Singapore,1231738112,
QC7.SI,Q&M Dental,Healthcare,Medical Care Facilities,Singapore,476321952,
QCAW.SI,error,,,,,
QES.SI,ChinaSunsine,Basic Materials,Specialty Chemicals,Singapore,505576224,
QK9.SI,error,,,,,
QL2.SI,error,,,,,
QL3.SI,error,,,,,
QLHW.SI,error,,,,,
QNHW.SI,error,,,,,
QNS.SI,$ SouthernAlliance,Basic Materials,Steel,Malaysia,268950016,
QOFW.SI,error,,,,,
QOMW.SI,error,,,,,
QR9.SI,error,,,,,
QS0.SI,error,,,,,
QS9.SI,G Invacom,Technology,Communication Equipment,Singapore,26079554,
QSD.SI,$ Resources Gbl,Industrials,Marine Shipping,Singapore,19800000,
QZG.SI,$ Accrelist Ltd,Technology,Electronic Components,Singapore,12840533,1836
R14.SI,Eneco Energy^,Industrials,Integrated Freight & Logistics,Singapore,16818568,
R1MS.SI,error,,,,,
R1NS.SI,error,,,,,
R80W.SI,error,,,,,
RAYW.SI,error,,,,,
RC5.SI,error,,,,,
RCFW.SI,error,,,,,
RCU.SI,$ Revez,Technology,Information Technology Services,Singapore,40200000,74
RDR.SI,$ Incredible,Consumer Cyclical,Luxury Goods,Singapore,17961060,
RE4.SI,Geo Energy Res,Energy,Thermal Coal,Singapore,236476640,
REWW.SI,error,,,,,
RF1U.SI,RHT HealthTrust,Healthcare,Medical Care Facilities,Singapore,,
RF7.SI,AMOS,Industrials,Marine Shipping,Singapore,41557924,
RHMW.SI,error,,,,,
RIAW.SI,error,,,,,
RMRB.SI,error,,,,,
RQ1.SI,Overseas Edu,Consumer Defensive,Education & Training Services,Singapore,132916480,
RQUW.SI,error,,,,,
RS1.SI,China Env Res,Consumer Cyclical,Auto & Truck Dealerships,Hong Kong,24359248,62
RUFW.SI,error,,,,,
RUQW.SI,error,,,,,
RW0U.SI,Mapletree NAC Tr,Real Estate,REIT—Diversified,Singapore,3447243008,
RXPW.SI,error,,,,,
S07.SI,Shangri-La HKD,Consumer Cyclical,Lodging,Hong Kong,29042759680,25600
S08.SI,SingPost,Industrials,Integrated Freight & Logistics,Singapore,1563458048,
S19.SI,SingShipping,Industrials,Marine Shipping,Singapore,101717208,
S20.SI,Straits Trading,Basic Materials,Other Industrial Metals & Mining,Singapore,1159436928,
S23.SI,Spura Finance,Financial Services,Credit Services,Singapore,133296232,
S27.SI,error,,,,,
S29.SI,Stamford Tyres,Consumer Cyclical,Auto Parts,Singapore,43204252,
S2D.SI,error,,,,,
S35.SI,Sing Inv & Fin,Financial Services,Credit Services,Singapore,222252656,
S3N.SI,OKH Global,Real Estate,Real Estate Services,Singapore,21444538,
S41.SI,Hong Leong Fin,Financial Services,Credit Services,Singapore,1096502400,
S44.SI,EnGro,Basic Materials,Building Materials,Singapore,129315424,
S45U.SI,SingIndexFund,,,Singapore,,
S49.SI,SingReinsurance,Financial Services,Insurance—Reinsurance,Singapore,211692192,
S51.SI,Sembcorp Marine,Industrials,Aerospace & Defense,Singapore,527319712,
S56.SI,SamuderaShipping,Industrials,Marine Shipping,Singapore,145270272,
S58.SI,SATS,Industrials,Airports & Air Services,Singapore,4825863680,18000
S59.SI,SIA Engineering,Industrials,Airports & Air Services,Singapore,2399796224,6761
S61.SI,SBS Transit,Industrials,Railroads,Singapore,976137472,10534
S63.SI,ST Engineering,Industrials,Aerospace & Defense,Singapore,12044704768,
S68.SI,SGX,Financial Services,Financial Data & Stock Exchanges,Singapore,10608060416,968
S69.SI,Serial System,Technology,Electronics & Computer Distribution,Singapore,84209144,700
S71.SI,Sunright,Technology,Semiconductors,Singapore,54034640,884
S7OU.SI,Asian Pay Tv Tr,Communication Services,Entertainment,Singapore,189666736,
S7P.SI,Soilbuild Const,Industrials,Engineering & Construction,Singapore,62251464,
S85.SI,Straco,Consumer Cyclical,Leisure,Singapore,491419808,
S91.SI,delisted,,,,,
S9B.SI,Amcorp Global,Real Estate,Real Estate—Development,Singapore,58093876,22
SDYW.SI,error,,,,,
SJOW.SI,error,,,,,
SJY.SI,$ MeGroup,Consumer Cyclical,Auto & Truck Dealerships,Singapore,19123680,
SK3.SI,KrisEnergy,Energy,Oil & Gas E&P,Singapore,,
SK6U.SI,SPHREIT,Real Estate,REIT—Retail,Singapore,2348229888,
SLQW.SI,error,,,,,
SMOW.SI,error,,,,,
SO7.SI,YZJ Shipbldg CNY,,,China,,
SQ1B.SI,error,,,,,
SSTW.SI,error,,,,,
STP.SI,$ Silkroad Nickel,Basic Materials,Other Industrial Metals & Mining,Singapore,116240232,
SV3U.SI,SoilbuildBizReit,Real Estate,REIT—Industrial,Singapore,682660032,
SYM.SI,$ Memiontec,Utilities,Utilities—Regulated Water,Singapore,48456536,
T09.SI,error,,,,,
T12.SI,Tat Seng Pkg,Consumer Cyclical,Packaging & Containers,Singapore,126546000,
T13.SI,RH PetroGas,Energy,Oil & Gas E&P,Singapore,14685540,
T14.SI,Tianjin ZX USD,Healthcare,Drug Manufacturers—Specialty & Generic,China,2089331840,4720
T15.SI,h TCIL HK$,Consumer Cyclical,Auto & Truck Dealerships,Hong Kong,4429288448,5868
T19.SI,delisted,,,,,
T24.SI,Tuan Sing,Real Estate,Real Estate Services,Singapore,445586240,
T39.SI,SPH,Communication Services,Publishing,Singapore,2395726336,3808
T41.SI,TeleChoice Intl,Communication Services,Telecom Services,Singapore,74979136,
T43.SI,Yunnan Energy,Technology,Scientific & Technical Instruments,Hong Kong,81647152,
T4B.SI,Sino Grandness,Consumer Defensive,Packaged Foods,China,22988200,
T55.SI,TIH,Financial Services,Asset Management,Singapore,56796208,
T6I.SI,ValueMax,Consumer Cyclical,Luxury Goods,Singapore,208241616,
T82U.SI,Suntec Reit,Real Estate,REIT—Diversified,Singapore,4421638144,
T8FS.SI,error,,,,,
T8V.SI,error,,,,,
TEKB.SI,delisted,,,,,
TID.SI,error,,,,,
TMXW.SI,error,,,,,
TQ5.SI,FRASERS PROPERTY LIMITED,Real Estate,Real Estate—Diversified,Singapore,3490532096,5664
TS0U.SI,OUE Com Reit,Real Estate,REIT—Retail,Singapore,2116861568,
TUVW.SI,error,,,,,
TY6Z.SI,error,,,,,
U06.SI,UIC,Real Estate,Real Estate—Diversified,Singapore,3753595136,
U09.SI,Avarga,Industrials,Building Products & Equipment,Singapore,293204192,
U10.SI,UOB Kay Hian,Financial Services,Capital Markets,Singapore,1355884928,
U11.SI,UOB,Financial Services,Banks—Regional,Singapore,42957762560,25466
U13.SI,UOI,Financial Services,Insurance—Property & Casualty,Singapore,449489248,
U14.SI,UOL,Real Estate,Real Estate—Development,Singapore,6630522880,
U77.SI,Sarine Tech,Technology,Scientific & Technical Instruments,Israel,209899216,
U96.SI,Sembcorp Ind,Industrials,Conglomerates,Singapore,3277610496,
U9E.SI,China Everbright,Industrials,Waste Management,China,700915584,2231
UAFW.SI,error,,,,,
UD1U.SI,IREIT Global,Real Estate,REIT—Office,Singapore,605631104,
UD2.SI,Japfa,Consumer Defensive,Farm Products,Singapore,1844172032,40000
UDWW.SI,error,,,,,
UFVW.SI,error,,,,,
UHXW.SI,error,,,,,
UPGW.SI,error,,,,,
UQ4.SI,error,,,,,
URR.SI,$ Sim Leisure,Consumer Cyclical,Leisure,Malaysia,31006080,
UV1.SI,Regal Intl,Real Estate,Real Estate—Development,Singapore,25865454,
UZJW.SI,error,,,,,
V03.SI,Venture,Technology,Electronic Components,Singapore,5786568192,12000
V2Y.SI,$ V2Y Corp,Industrials,Specialty Business Services,Singapore,17130176,
V3M.SI,$ Metech Intl,Industrials,Specialty Business Services,Singapore,8303319,
VAIW.SI,error,,,,,
VDMW.SI,error,,,,,
VFP.SI,$ Beverly JCG,Healthcare,Medical Care Facilities,Singapore,15814900,
VHUW.SI,error,,,,,
VK2W.SI,error,,,,,
VL6.SI,Koufu,Consumer Cyclical,Restaurants,Singapore,374365792,
VQEW.SI,error,,,,,
VSBW.SI,error,,,,,
VTWW.SI,error,,,,,
VWYW.SI,error,,,,,
W05.SI,Wing Tai,Real Estate,Real Estate—Diversified,Singapore,1487064960,
W4AW.SI,error,,,,,
W4QW.SI,error,,,,,
WG2W.SI,error,,,,,
WG8W.SI,error,,,,,
WHGW.SI,error,,,,,
WJP.SI,VICOM Ltd,Consumer Cyclical,Auto & Truck Dealerships,Singapore,772958272,863
WL7W.SI,error,,,,,
WPC.SI,$ Vallianz,Industrials,Marine Shipping,Singapore,30205116,
WPOB.SI,delisted,,,,,
WQ6W.SI,error,,,,,
WRAW.SI,error,,,,,
WU1W.SI,error,,,,,
WVDW.SI,error,,,,,
WVEW.SI,error,,,,,
X06.SI,delisted,,,,,
X0RW.SI,error,,,,,
X7RW.SI,error,,,,,
XATW.SI,error,,,,,
XCF.SI,$ KTMG,Consumer Cyclical,Apparel Manufacturing,Singapore,33936400,
XDIW.SI,error,,,,,
XH3W.SI,error,,,,,
XINW.SI,error,,,,,
XLJW.SI,error,,,,,
XPUW.SI,error,,,,,
XSHW.SI,error,,,,,
XSIW.SI,error,,,,,
XV1W.SI,error,,,,,
XXNW.SI,error,,,,,
XZ4W.SI,error,,,,,
XZL.SI,ARA HTrust USD,Real Estate,REIT—Hotel & Motel,Singapore,305590880,
Y03.SI,Yeo Hiap Seng,Consumer Defensive,Packaged Foods,Singapore,455230144,
Y06.SI,Green Build,Industrials,Engineering & Construction,China,4686882,
Y35.SI,AnAn Intl,Energy,Oil & Gas Refining & Marketing,Singapore,135462080,
Y3D.SI,MDR Limited,Technology,Electronics & Computer Distribution,Singapore,71231840,
Y45.SI,SingMyanmar^,Consumer Cyclical,Specialty Retail,Singapore,4437958,
Y92.SI,ThaiBev,Consumer Defensive,Beverages—Wineries & Distilleries,Thailand,18085535744,
YBNW.SI,error,,,,,
YC8W.SI,error,,,,,
YH9W.SI,error,,,,,
YHUW.SI,error,,,,,
YLAW.SI,error,,,,,
YP7W.SI,error,,,,,
YPFW.SI,error,,,,,
YSUB.SI,error,,,,,
YX7W.SI,error,,,,,
YYB.SI,$ Arion Ent,Communication Services,Publishing,Singapore,15877185,11
YYN.SI,$ PlatoCapital,Technology,Electronics & Computer Distribution,Malaysia,11000573,
Z25.SI,Yanlord Land,Real Estate,Real Estate—Development,Singapore,2337163520,
Z59.SI,Yoma Strategic,Real Estate,Real Estate—Development,Singapore,319958208,4300
Z74.SI,Singtel,Communication Services,Telecom Services,Singapore,39833001984,23080
Z77.SI,Singtel 10,Communication Services,Telecom Services,Singapore,39832813568,23080
ZFSW.SI,error,,,,,
ZL8S.SI,error,,,,,
ZTOW.SI,error,,,,,
ZVBW.SI,error,,,,,
