,Daily Sharpe - 1d,Annual Sharpe - 1d,Return over 1d (%),Avg volume (1d)
V,,,,3669324.0
VNO,,,,1493911.0
VMC,,,,364556.0
WRB,,,,397657.0
WAB,,,,344397.0
WMT,,,,5057660.0
WBA,,,,6293265.0
DIS,,,,7547526.0
WM,,,,789034.0
WAT,,,,196744.0
WEC,,,,656227.0
WFC,,,,18640631.0
WELL,,,,981149.0
WST,,,,179252.0
WDC,,,,2568339.0
WU,,,,3792884.0
WRK,,,,1513063.0
WY,,,,2113656.0
WHR,,,,341656.0
WMB,,,,6437790.0
WLTW,,,,229888.0
WYNN,,,,2639088.0
XEL,,,,3559547.0
XRX,,,,1687916.0
XLNX,,,,978826.0
XYL,,,,537517.0
YUM,,,,897392.0
ZBRA,,,,165828.0
ZBH,,,,708533.0
ZION,,,,861260.0
ZTS,,,,1013499.0
